,state,city_or_county,address,latitude,longitude
102,Texas,Houston,9780 Bissonnet,29.6754,-95.5499
122,Texas,Fort Worth,2900 block of Pate Drive,32.7157,-97.2597
152,Texas,Dallas,2400 block of Royal Lane,32.8958,-96.8986
163,Texas,Dallas,7100 block of Long Canyon Trail,32.6412,-96.9481
202,Texas,Rice,700 block of NW 0149,32.2337,-96.4661
218,Texas,Paris,400 block of NE 6th Street,33.6652,-95.5505
228,Texas,Beaumont,500 block of Edgemore Drive,30.0716,-94.1485
239,Texas,Cypress,7300 block of Enchanted Creek Drive,29.884,-95.7187
243,Texas,Houston,4400 block of Tiffany,29.6168,-95.4428
244,Texas,Houston,8200 block of Sunbury,29.8222,-95.2761
262,Texas,Channelview,900 block of Ashland Boulevard,29.7908,-95.1355
306,Texas,Lubbock, 1704 East 4th Street.,33.5922,-101.818
309,Texas,Houston,,29.7654,-95.3663
338,Texas,Borger,,35.663,-101.404
352,Texas,Port Arthur,,29.8877,-93.9602
358,Texas,Lubbock,1704 East 4th Street,33.5922,-101.818
414,Texas,Hebbronville,,27.3034,-98.6823
421,Texas,San Antonio,9200 block of West Alametos,29.4769,-98.513
423,Texas,Corpus Christi,4600 block of Valdez,27.7515,-97.4432
425,Texas,Harker Heights,300 block of East Central Texas Expressway,31.0843,-97.6373
429,Texas,Fort Worth,6800 block of the S. Freeway Service Road,32.8671,-97.3165
439,Texas,Corpus Christi,5441 Everhart Rd.,27.7097,-97.3873
466,Texas,Killeen,1100 block of 38th Street ,31.1192,-97.6979
498,Texas,Killeen,5100 block of East Veterans Memorial Boulevard,31.0957,-97.6892
519,Texas,Taylor,610 Howard Street,30.5715,-97.4202
520,Texas,Austin,3600 Presidential Blvd,30.2093,-97.6529
522,Texas,Killeen,3000 block of Old Farm-to-Market 440 Road,31.1108,-97.7504
545,Texas,Conroe,La Quinta Inn at 28673 I-45 north,30.1978,-95.4545
548,Texas,Shenandoah,Comfort Inn at 1115 League Line Road,30.1802,-95.4558
560,Texas,Amarillo,3500 block of Mockingbird Lane,35.1829,-101.878
564,Texas,Galveston,45th Street ,29.2869,-94.815
565,Texas,El Paso,155 N. San Marcia,31.7901,-106.522
569,Texas,Austin,3600 Presidential Blvd,30.2093,-97.6529
594,Texas,Dallas,2375 International Pkwy,32.8982,-97.0404
595,Texas,Dallas,2728 McKinnon Street,32.7938,-96.8066
599,Texas,Hondo,,29.3582,-99.1285
600,Texas,Huntsville,200 block of Evergreen,30.6748,-95.5269
612,Texas,Houston,Ojeman Road at Hammerly Boulevard,29.8109,-95.5024
613,Texas,Harris County,Eldridge Parkway between Memorial Drive and Enclave Parkway,29.7752,-95.3102
617,Texas,Huntsville,200 block of Evergreen,30.6748,-95.5269
625,Texas,Houston,4200 block of Clay Hill Drive,29.8351,-95.6488
651,Texas,Texas City,1400 block of 19th Avenue North,29.4037,-94.9144
675,Texas,Lubbock,2025 Clovis Road,33.5988,-101.862
681,Texas,Watauga,6400 block of Patsy Lane,32.8631,-97.2563
700,Texas,San Antonio,4600 block of Howard,29.4786,-98.4954
702,Texas,Fort Worth,Meadowbrook,32.7487,-97.2564
737,Texas,Harris County,5200 block of FM 1960,29.8257,-95.2082
743,Texas,Laredo,2200 block of Hendricks Avenue,27.5157,-99.4865
