,state,city_or_county,address,latitude,longitude
17,Illinois,Chicago,2500 block of East 75th Street,41.7592,-87.5628
41,Illinois,Chicago,West 87th Street and Ashland Avenue,41.7358,-87.6631
55,Illinois,Chicago (Englewood),5700 block of South Lowe Avenue,41.7906,-87.6418
57,Illinois,Manchester,East Street,39.5417,-90.3301
82,Illinois,Chicago,5200 block of West Iowa Street,41.8968,-87.7556
88,Illinois,Chicago,,41.8859,-87.6251
98,Illinois,Chicago,5700 block of South Sangamon Street,41.7904,-87.649
103,Illinois,Chicago,900block of East 79th Street,41.7513,-87.6027
104,Illinois,Chicago,2900 block of North Kilpatrick Avenue,41.9335,-87.7445
115,Illinois,Chicago,73rd Street and King Drive,41.7621,-87.6152
117,Illinois,Chicago,4800 block of North Sheridan Road,41.9691,-87.6548
124,Illinois,Chicago,6000 block of South Cottage Grove Avenue,41.7858,-87.6061
128,Illinois,Chicago,11300 block of South Forest Avenue,41.689,-87.6157
133,Illinois,Rockford,600 block of Woodlawn Avenue,42.2783,-89.0953
175,Illinois,Chicago,100 block of South Springfield,41.8798,-87.7232
176,Illinois,Chicago,1011 W. Wilson,41.9653,-87.6557
200,Illinois,Chicago,1809 W 50th St,41.803,-87.6699
210,Illinois,Chicago,6000 block of South Indiana Avenue,41.7854,-87.6209
302,Illinois,Pinckneyville,13 S Walnut St,38.0795,-89.383
361,Illinois,Quincy,600 block of College Street,39.9394,-91.4067
379,Illinois,Chicago,100 block of West 105th St,41.7035,-87.6259
412,Illinois,Chicago,1100 block of West Ardmore Av,41.9873,-87.6582
446,Illinois,Springfield,1801 S. 11th St,39.7827,-89.6411
456,Illinois,Chicago,7th Street and Rhodes Av,41.7402,-87.6114
468,Illinois,Rockford,Auburn and Central Streets,42.2884,-89.116
622,Illinois,Rockford,7th Street and 5th Av,42.2615,-89.0808
624,Illinois,Rockford,1102 Ferguson St,42.2623,-89.1076
645,Illinois,Taylorville,100 block of East Market Street,39.5481,-89.2948
655,Illinois,Decatur,1100 block of East Riverside Av,39.8278,-88.9418
693,Illinois,Chicago,2600 block of East 106th St,41.7028,-87.5596
706,Illinois,Chicago,300 block of West 114th St,41.6873,-87.6303
745,Illinois,Rock Falls,215 W 2nd St,41.781,-89.6937
757,Illinois,Springfield,2500 block of East Plateau Dr,39.8406,-89.5717
784,Illinois,Chicago,3900 block of West Ohio St,41.8917,-87.7235
805,Illinois,Chicago,3200 block of North Milwaukee Av,41.9393,-87.7245
831,Illinois,Chicago,5400 block of West Madison St,41.8807,-87.7605
840,Illinois,Chicago,3100 block of West 52nd S,41.7991,-87.7013
860,Illinois,Chicago,200 block of East 35th St,41.8312,-87.6216
900,Illinois,Chicago,500 block of East 38th Place,41.8248,-87.6144
910,Illinois,Bolingbrook,1300 block of Parkside Dr,41.6785,-88.1262
911,Illinois,Chicago,8000 block of South Artesian Av,41.7481,-87.6844
1023,Illinois,Park Ridge,700 block of Mayfield Drive,42.0367,-87.8614
1064,Illinois,Champaign,1300 block of Champaign St,40.1285,-88.24
1203,Illinois,Rockford,1441 Kishwaukee St,42.2533,-89.0858
1247,Illinois,Chicago,1700 block of East 72nd St,41.7643,-87.5836
1248,Illinois,Zeigler,310 N Christopher Rd,37.8924,-89.0595
1279,Illinois,Chicago,7600 block of South Kingston Av,41.7572,-87.5627
1305,Illinois,Chicago,6400 block of South Campbell Avenue,41.7773,-87.6864
1331,Illinois,Chicago,3800 block of West Chicago Av,41.8954,-87.7212
1395,Illinois,Chicago,1700 block of East 72nd St,41.7643,-87.5836
1427,Illinois,Urbana,,40.1073,-88.2095
1462,Illinois,Chicago,600 block of East 67th St,41.7732,-87.6104
1467,Illinois,Aurora,400 block of Blackhawk St,41.7648,-88.324
1550,Illinois,Chicago,7020 W. Cermak Rd,41.8517,-87.7235
1570,Illinois,Lombard,800 block of Hammerschmidt Avenue,41.8711,-88.0129
