geoid,name,B19001001,"B19001001, Error",B19001002,"B19001002, Error",B19001003,"B19001003, Error",B19001004,"B19001004, Error",B19001005,"B19001005, Error",B19001006,"B19001006, Error",B19001007,"B19001007, Error",B19001008,"B19001008, Error",B19001009,"B19001009, Error",B19001010,"B19001010, Error",B19001011,"B19001011, Error",B19001012,"B19001012, Error",B19001013,"B19001013, Error",B19001014,"B19001014, Error",B19001015,"B19001015, Error",B19001016,"B19001016, Error",B19001017,"B19001017, Error"
01000US,United States,120756048,236892,7302871,18046,5189583,15224,5300624,15337,5459520,16244,5285952,16670,5506182,18565,5093804,14176,5081209,16048,4647032,14255,9090005,22946,11699885,30719,15374617,51444,11019036,49867,7267775,40108,8173563,49077,9264390,54033
04000US48,Texas,9691647,18858,593067,6163,388668,4911,416958,4312,444526,5091,440707,5090,456316,5842,420686,5136,416290,4399,376543,4715,761936,5404,944554,7178,1212675,8492,875978,8091,578591,6503,645429,6967,718723,6426
05000US48001,"Anderson County, TX",16677,414,861,226,1302,276,1259,232,1118,234,897,231,1218,348,1171,281,814,226,734,167,1588,316,1714,319,1831,277,943,203,574,202,411,127,242,83
05000US48003,"Andrews County, TX",5573,191,272,106,188,86,146,85,114,71,293,142,212,119,165,99,355,161,125,85,332,141,496,153,1003,238,573,177,473,170,401,141,425,112
05000US48005,"Angelina County, TX",31035,619,2102,314,1738,297,1890,334,1915,361,2381,394,1466,271,1336,242,1206,242,1358,271,2980,379,3215,467,4206,541,2283,308,1068,268,1203,209,688,169
05000US48007,"Aransas County, TX",9548,501,854,290,557,181,450,153,578,191,666,260,550,230,677,254,425,192,474,186,589,167,707,186,985,237,731,178,345,180,379,130,581,209
05000US48009,"Archer County, TX",3452,114,158,52,209,88,169,51,184,59,166,53,196,71,124,51,93,52,125,49,196,57,376,75,442,77,359,89,240,62,208,62,207,70
05000US48011,"Armstrong County, TX",694,56,33,22,44,28,12,11,11,9,35,20,15,11,34,24,31,18,17,16,60,30,81,29,101,40,76,23,49,21,63,34,32,22
05000US48013,"Atascosa County, TX",15546,421,875,200,561,171,846,240,913,218,921,255,802,218,496,171,762,259,722,230,1391,285,1679,327,1914,306,1692,305,648,209,710,218,614,200
05000US48015,"Austin County, TX",11301,306,474,147,515,158,533,189,743,239,372,165,550,204,448,125,387,136,448,131,747,176,1194,253,1405,260,1554,276,968,215,511,132,452,118
05000US48017,"Bailey County, TX",2054,225,26,26,142,101,40,42,98,71,267,142,114,70,106,76,73,59,111,81,210,120,223,130,272,131,134,77,93,90,96,98,49,62
05000US48019,"Bandera County, TX",8399,340,364,129,502,175,368,143,467,172,281,110,342,148,362,131,392,140,386,122,848,218,980,219,1263,303,624,186,453,134,393,155,374,124
05000US48021,"Bastrop County, TX",25571,628,1418,417,1033,266,1132,309,986,297,1020,281,1069,224,796,252,1235,266,1011,281,2170,382,2399,357,3550,521,3008,477,1349,275,2188,406,1207,266
05000US48023,"Baylor County, TX",1530,112,60,34,143,60,147,76,105,60,112,64,88,53,89,57,71,55,87,53,108,53,108,52,242,89,104,75,38,30,14,17,14,16
05000US48025,"Bee County, TX",8269,421,818,263,464,153,681,253,429,125,380,131,539,170,514,174,346,153,431,170,629,206,801,227,744,159,498,175,404,148,307,133,284,115
05000US48027,"Bell County, TX",122689,1242,8070,731,4895,611,4944,378,6319,513,5936,626,6964,733,5826,525,6185,532,5572,619,11533,833,13785,849,16970,837,10247,709,6373,683,4770,536,4300,529
05000US48029,"Bexar County, TX",636245,1930,44013,1392,27062,1217,29243,1224,30905,1307,30499,1308,32208,1437,29665,1399,28253,1315,25766,1318,54614,1846,65779,1790,81563,1991,53738,1531,34793,1356,34115,1299,34029,1225
05000US48031,"Blanco County, TX",4343,209,159,78,159,79,153,68,174,72,197,66,156,68,192,67,299,132,218,92,225,92,600,176,499,134,399,134,328,139,334,130,251,96
05000US48033,"Borden County, TX",227,47,10,8,7,6,11,9,0,14,7,6,9,10,5,6,12,11,6,8,29,16,19,11,31,18,35,17,15,16,18,18,13,8
05000US48035,"Bosque County, TX",7211,256,338,90,290,82,334,86,509,110,415,112,438,96,480,117,317,76,329,121,675,130,723,141,829,117,743,129,314,90,265,73,212,63
05000US48037,"Bowie County, TX",34076,629,3270,464,2008,329,1764,312,1869,334,1829,332,1623,283,1650,273,1492,279,1471,257,3033,380,3361,433,3842,378,2564,389,1452,246,1384,229,1464,255
05000US48039,"Brazoria County, TX",121523,1201,4749,614,3734,557,3766,541,3922,460,4371,508,4398,584,3563,482,4086,557,3386,496,8339,836,11740,995,17599,1170,13705,1256,10755,913,12289,846,11121,911
